# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 208.72 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.045004301630e-05      -1.570551003619e-05      -1.177918111265e-05      -1.177918153187e-05      -1.570550224872e-05      -1.178079424786e-05      -1.189232736657e-05       6.122887729409e-01       5.968108667658e-01       2.355836306373e-05       3.184796625672e-08       9.999995754244e-01      -2.905157732196e-10       9.941584269241e-10      -5.048212337883e-13      -1.479253395791e-13      -1.349055285183e-16      -1.576612267741e-13      -5.801811963129e-15 
       1.315582470756e-05      -2.489149129287e-05      -1.866874051077e-05      -1.866874156380e-05      -2.489147173167e-05      -1.867129747519e-05      -1.884806370822e-05       6.122885747595e-01       5.968107322350e-01       3.733748312760e-05       5.047561352440e-08       9.999993270934e-01      -4.604329968316e-10       1.575629793705e-09      -8.000861799189e-13      -3.715709950310e-13      -3.388658937512e-16      -3.960262940695e-13      -1.457346522094e-14 
       1.656220203746e-05      -3.945019762731e-05      -2.958795477337e-05      -2.958795741847e-05      -3.945014849205e-05      -2.959200829268e-05      -2.987215908012e-05       6.122883362820e-01       5.968105962478e-01       5.917591483694e-05       7.999841331591e-08       9.999989335137e-01      -7.297380293554e-10       2.497192131081e-09      -1.268047535617e-12      -9.333414567130e-13      -8.512301659641e-16      -9.947697783928e-13      -3.660678339814e-14 
       2.085057702023e-05      -6.252394389571e-05      -4.689372794558e-05      -4.689373458975e-05      -6.252382047439e-05      -4.690015439248e-05      -4.734415177742e-05       6.122878580705e-01       5.968102771793e-01       9.378746917949e-05       1.267888625963e-07       9.999983097360e-01      -1.156551219516e-09       3.957750596379e-09      -2.009710131167e-12      -2.344437167983e-12      -2.138186546655e-15      -2.498735912728e-12      -9.195164427333e-14 
       2.624932126134e-05      -9.909275411611e-05      -7.432149978924e-05      -7.432151647901e-05      -9.909244409843e-05      -7.433169051778e-05      -7.503534924424e-05       6.122871020549e-01       5.968097744874e-01       1.486430329580e-04       2.009466082218e-07       9.999973211185e-01      -1.832994019878e-09       6.272530897934e-09      -3.185151483019e-12      -5.888916847426e-12      -5.371034885592e-15      -6.276489645635e-12      -2.309703441107e-13 
       3.304593757825e-05      -1.570488702798e-04      -1.177915111729e-04      -1.177915530948e-04      -1.570480915671e-04      -1.178076749643e-04      -1.189228254894e-04       6.122858975244e-01       5.968089687298e-01       2.355831061897e-04       3.184784216556e-07       9.999957542776e-01      -2.905062635517e-09       9.941088492709e-09      -5.048063017311e-12      -1.479212538413e-11      -1.349100978716e-14      -1.576562609454e-11      -5.801643364897e-13 
       4.160237057382e-05      -2.488992561943e-04      -1.866866459134e-04      -1.866867512155e-04      -2.488973002167e-04      -1.867122963802e-04      -1.884795055190e-04       6.122839969034e-01       5.968077026905e-01       3.733735024309e-04       5.047530406117e-07       9.999932710248e-01      -4.604128829752e-09       1.575505258811e-08      -8.000486125174e-12      -3.715547259815e-11      -3.388753381156e-14      -3.960065117272e-11      -1.457279243790e-12 
       5.237428150626e-05      -3.944625879677e-04      -2.958775948775e-04      -2.958778593848e-04      -3.944576749930e-04      -2.959183306352e-04      -2.987187021809e-04       6.122809834855e-01       5.968056959757e-01       5.917557187696e-04       7.999765382443e-07       9.999893353982e-01      -7.296831961980e-09       2.496879167003e-08      -1.267952808947e-11      -9.332765461896e-11      -8.512162453175e-14      -9.946910978556e-11      -3.660409529500e-12 
       6.593531391269e-05      -6.251405080819e-04      -4.689323779067e-04      -4.689330423184e-04      -6.251281681362e-04      -4.689971467817e-04      -4.734342658249e-04       6.122762093833e-01       5.968025159547e-01       9.378660846368e-04       1.267869534065e-06       9.999830980119e-01      -1.156414609333e-08       3.956964448005e-08      -2.009472259128e-11      -2.344178614929e-10      -2.138151444168e-13      -2.498422637442e-10      -9.194094196531e-12 
       8.300764221932e-05      -9.906790321297e-04      -7.432026723689e-04      -7.432043412928e-04      -9.906480391224e-04      -7.433058430799e-04      -7.503352632320e-04       6.122686287606e-01       5.967974611356e-01       1.486408682586e-03       2.009418179508e-06       9.999732128339e-01      -1.832654853859e-08       6.270556365195e-08      -3.184553810321e-11      -5.887888214582e-10      -5.370706234786e-13      -6.275242621285e-10      -2.309277270518e-11 
